,Date/Time,Year,Month,Day,Max_Temp,Min_Temp,Mean_Temp
252,2014-09-10,2014,9,10,19.3,9.7,14.5
253,2014-09-11,2014,9,11,19.3,13.6,16.5
254,2014-09-12,2014,9,12,21.8,10.0,15.9
255,2014-09-13,2014,9,13,13.9,3.8,8.9
256,2014-09-14,2014,9,14,12.1,4.0,8.1
257,2014-09-15,2014,9,15,13.4,10.1,11.8
258,2014-09-16,2014,9,16,16.3,10.0,13.2
259,2014-09-17,2014,9,17,18.1,7.1,12.6
260,2014-09-18,2014,9,18,17.3,11.4,14.4
261,2014-09-19,2014,9,19,18.4,5.7,12.1
262,2014-09-20,2014,9,20,14.3,5.4,9.9
263,2014-09-21,2014,9,21,20.8,13.3,17.1
264,2014-09-22,2014,9,22,20.3,16.6,18.5
265,2014-09-23,2014,9,23,19.6,8.1,13.9
266,2014-09-24,2014,9,24,12.9,3.6,8.3
267,2014-09-25,2014,9,25,17.4,4.6,11.0
268,2014-09-26,2014,9,26,13.6,8.2,10.9
269,2014-09-27,2014,9,27,14.6,5.2,9.9
270,2014-09-28,2014,9,28,14.7,2.5,8.6
271,2014-09-29,2014,9,29,13.5,1.7,7.6
272,2014-09-30,2014,9,30,12.1,2.0,7.1
273,2014-10-01,2014,10,1,12.8,2.3,7.6
274,2014-10-02,2014,10,2,9.3,1.8,5.6
275,2014-10-03,2014,10,3,11.6,3.9,7.8
276,2014-10-04,2014,10,4,13.3,3.1,8.2
277,2014-10-05,2014,10,5,15.7,3.6,9.7
278,2014-10-06,2014,10,6,22.1,11.7,16.9
279,2014-10-07,2014,10,7,15.4,4.3,9.9
280,2014-10-08,2014,10,8,13.7,3.1,8.4
281,2014-10-09,2014,10,9,15.3,9.7,12.5
282,2014-10-10,2014,10,10,16.6,8.9,12.8
283,2014-10-11,2014,10,11,16.0,6.4,11.2
284,2014-10-12,2014,10,12,8.5,4.4,6.5
285,2014-10-13,2014,10,13,9.5,4.2,6.9
286,2014-10-14,2014,10,14,14.5,4.8,9.7
287,2014-10-15,2014,10,15,16.0,8.6,12.3
288,2014-10-16,2014,10,16,8.9,2.0,5.5
289,2014-10-17,2014,10,17,10.6,1.8,6.2
290,2014-10-18,2014,10,18,18.3,10.5,14.4
291,2014-10-19,2014,10,19,21.3,11.1,16.2
292,2014-10-20,2014,10,20,17.3,7.0,12.2
293,2014-10-21,2014,10,21,11.8,4.7,8.3
294,2014-10-22,2014,10,22,9.7,1.7,5.7
295,2014-10-23,2014,10,23,9.3,1.9,5.6
296,2014-10-24,2014,10,24,11.1,8.6,9.9
297,2014-10-25,2014,10,25,10.2,7.4,8.8
298,2014-10-26,2014,10,26,8.2,6.8,7.5
299,2014-10-27,2014,10,27,11.9,6.9,9.4
300,2014-10-28,2014,10,28,9.7,4.6,7.2
301,2014-10-29,2014,10,29,6.2,2.8,4.5
302,2014-10-30,2014,10,30,16.0,6.3,11.2
303,2014-10-31,2014,10,31,9.1,4.7,6.9
304,2014-11-01,2014,11,1,7.9,4.7,6.3
305,2014-11-02,2014,11,2,17.9,5.4,11.7
306,2014-11-03,2014,11,3,18.5,8.1,13.3
307,2014-11-04,2014,11,4,9.7,2.4,6.1
308,2014-11-05,2014,11,5,8.0,0.9,4.5
309,2014-11-06,2014,11,6,13.1,6.2,9.7
310,2014-11-07,2014,11,7,14.0,4.6,9.3
311,2014-11-08,2014,11,8,15.5,2.0,8.8
312,2014-11-09,2014,11,9,7.6,2.9,5.3
313,2014-11-10,2014,11,10,11.4,2.6,7.0
314,2014-11-11,2014,11,11,6.1,0.5,3.3
315,2014-11-12,2014,11,12,2.4,-0.8,0.8
316,2014-11-13,2014,11,13,4.6,0.3,2.5
317,2014-11-14,2014,11,14,8.5,2.9,5.7
318,2014-11-15,2014,11,15,10.5,-1.7,4.4
319,2014-11-16,2014,11,16,0.5,-2.0,-0.8
320,2014-11-17,2014,11,17,4.6,-2.8,0.9
321,2014-11-18,2014,11,18,15.7,4.6,10.2
322,2014-11-19,2014,11,19,6.3,-1.9,2.2
323,2014-11-20,2014,11,20,2.4,-1.8,0.3
324,2014-11-21,2014,11,21,8.1,-2.3,2.9
325,2014-11-22,2014,11,22,-1.5,-4.5,-3.0
326,2014-11-23,2014,11,23,1.9,-1.6,0.2
327,2014-11-24,2014,11,24,2.4,-3.7,-0.7
328,2014-11-25,2014,11,25,14.4,2.4,8.4
